Airspeed,65 KTS on FINAL
Flaps,FULL
Airspeed,62 KTS on SHORT FINAL
Power,REDUCE TO IDLE
Touchdown,MAIN GEAR FIRST
Brakes,AS NEEDED
Flaps,RETRACT
Controls,HOLD FULL AFT
